"","sp_code","season","elevation","species","plant_group","shape_upd","symmetry","flower_pos","anther_pos","odour","brightness","colour","nectar_guides","size","tube_length","volume","concentration","sugar_amount","glucose","fructose","saccharose"
"27","BEGLET","DRY",1100,"Begonia letouzeyi","Herb","Open","Zygomorphic","Horizontal","Exposed","Weak-No","Vivid","Yellow","Present",2.0845,0,NA,NA,0.00418839285714286,0.175324675324675,0.142857142857143,0.681818181818182
"28","BEGMAC","WET",650,"Begonia macrocarpa","Herb","Open","Zygomorphic","Horizontal","Exposed","Weak-No","Vivid","White","Present",1.0421,0,NA,NA,0.000746666666666667,NA,NA,NA
"29","BEGMAN","DRY",650,"Begonia mannii","Herb","Open","Zygomorphic","All","Exposed","Weak-No","Vivid","Red","Absent",1.5245,0,NA,NA,0.00459615384615385,0.471349795801069,0.523061968904813,0.00558823529411765
"30","BEGMAN","DRY",1100,"Begonia mannii","Herb","Open","Zygomorphic","All","Exposed","Weak-No","Vivid","Red","Absent",1.5245,0,NA,NA,0.00459615384615385,0.471349795801069,0.523061968904813,0.00558823529411765
"31","BEGMAN","DRY",1450,"Begonia mannii","Herb","Open","Zygomorphic","All","Exposed","Weak-No","Vivid","Red","Absent",1.5245,0,NA,NA,0.00459615384615385,0.471349795801069,0.523061968904813,0.00558823529411765
"32","BEGMAN","WET",650,"Begonia mannii","Herb","Open","Zygomorphic","All","Exposed","Weak-No","Vivid","Red","Absent",1.5245,0,NA,NA,0.00459615384615385,0.471349795801069,0.523061968904813,0.00558823529411765
"33","BEGMAN","WET",1100,"Begonia mannii","Herb","Open","Zygomorphic","All","Exposed","Weak-No","Vivid","Red","Absent",1.5245,0,NA,NA,0.00459615384615385,0.471349795801069,0.523061968904813,0.00558823529411765
"34","BEGOXT","WET",1450,"Begonia oxyanthera","Herb","Open","Zygomorphic","Horizontal","Exposed","Weak-No","Drab","White","Present",1.3856,0,NA,NA,0.00094225,NA,NA,NA
"35","BEGOXT","WET",2250,"Begonia oxyanthera","Herb","Open","Zygomorphic","Horizontal","Exposed","Weak-No","Drab","White","Present",1.3856,0,NA,NA,0.00094225,NA,NA,NA
"36","BEGOXY","DRY",1100,"Begonia oxyloba","Herb","Open","Zygomorphic","Horizontal","Exposed","Weak-No","Vivid","Pink","Present",1.1908,0,NA,NA,0.000967204301075269,NA,NA,NA
"37","BEGOXY","DRY",1450,"Begonia oxyloba","Herb","Open","Zygomorphic","Horizontal","Exposed","Weak-No","Vivid","Pink","Present",1.1908,0,NA,NA,0.000967204301075269,NA,NA,NA
"38","BEGOXY","WET",1100,"Begonia oxyloba","Herb","Open","Zygomorphic","Horizontal","Exposed","Weak-No","Vivid","Pink","Present",1.1908,0,NA,NA,0.000967204301075269,NA,NA,NA
"39","BEGOXY","WET",1450,"Begonia oxyloba","Herb","Open","Zygomorphic","Horizontal","Exposed","Weak-No","Vivid","Pink","Present",1.1908,0,NA,NA,0.000967204301075269,NA,NA,NA
"40","BEGPOC","DRY",2250,"Begonia poculifera","Epiphyte","Open","Zygomorphic","Horizontal","Exposed","Weak-No","Vivid","White","Absent",2.6235,0,NA,NA,0.00125555555555556,NA,NA,NA
"41","BEGPOC","WET",1450,"Begonia poculifera","Epiphyte","Open","Zygomorphic","Horizontal","Exposed","Weak-No","Vivid","White","Absent",2.6235,0,NA,NA,0.00125555555555556,NA,NA,NA
"42","BEGPOC","WET",2250,"Begonia poculifera","Epiphyte","Open","Zygomorphic","Horizontal","Exposed","Weak-No","Vivid","White","Absent",2.6235,0,NA,NA,0.00125555555555556,NA,NA,NA
"43","BEGSCU","DRY",650,"Begonia scutifolia","Herb","Open","Zygomorphic","Horizontal","Exposed","Weak-No","Vivid","Yellow","Present",1.16942857142857,0,NA,NA,0.00896923076923077,0.277946668982889,0.205105098584209,0.516948232432902
"44","BEGSCU","WET",650,"Begonia scutifolia","Herb","Open","Zygomorphic","Horizontal","Exposed","Weak-No","Vivid","Yellow","Present",1.16942857142857,0,NA,NA,0.00896923076923077,0.277946668982889,0.205105098584209,0.516948232432902
"45","BEGSCU","WET",1100,"Begonia scutifolia","Herb","Open","Zygomorphic","Horizontal","Exposed","Weak-No","Vivid","Yellow","Present",1.16942857142857,0,NA,NA,0.00896923076923077,0.277946668982889,0.205105098584209,0.516948232432902
"46","BERRAC","WET",650,"Bertiera racemosa","Shrub","Tube","Actinomorphic","Horizontal","Hidden","Weak-No","Vivid","White","Absent",0.655333333333333,2.07266666666667,2.73026315789474,18.4333333333333,0.62828920252193,0.451425691357304,0.307457139323934,0.241117169318762
"47","BRIOWA","DRY",1100,"Brillantaisia owariensis","Herb","Labiate","Zygomorphic","Horizontal","Exposed","Strong ","Vivid","Purple","Present",2.9276,1.0362,3.59824561403509,30.332,1.36185505081798,0.196739136155023,0.233855835839328,0.569405028005649
"48","BRIOWA","DRY",1450,"Brillantaisia owariensis","Herb","Labiate","Zygomorphic","Horizontal","Exposed","Strong ","Vivid","Purple","Present",2.9276,1.0362,3.59824561403509,30.332,1.36185505081798,0.196739136155023,0.233855835839328,0.569405028005649
"49","BRISPE","DRY",1450,"Bridelia speciosa","Tree","Open","Actinomorphic","All","Exposed","Weak-No","Drab","Green","Absent",0.542,0,NA,NA,NA,NA,NA,NA
"50","BULINT","WET",1450,"Bulbophyllum intertextum","Epiphyte","Bowl","Zygomorphic","Upright","Exposed","Weak-No","Drab","Green","Absent",0.5726,0,NA,NA,0.00178888888888889,NA,NA,NA
"51","CALACU","DRY",650,"Calochone acuminata","Climber","Trumpet","Actinomorphic","Horizontal","Partially exposed","Weak-No","Vivid","Orange","Present",7.74,4.2888,39.25,20.75,8.74274341125,0.132013058297268,0.657499345839299,0.210487595863433
"52","CALSYL","WET",1100,"Calanthe sylvatica","Herb","Funnel","Zygomorphic","Horizontal","Exposed","Weak-No","Vivid","Purple","Absent",2.10577,2.2196,0.475328947368421,1.8,0.00572322838541667,NA,NA,NA
"53","CAMFLA","DRY",650,"Gomphia flava","Shrub","Stellate","Actinomorphic","All","Exposed","Weak-No","Vivid","Yellow","Absent",2.0406,0,NA,NA,0.00419479166666667,0.543863593463593,0.430188546988547,0.0259478595478596
"54","CAMFLA","DRY",1100,"Gomphia flava","Shrub","Stellate","Actinomorphic","All","Exposed","Weak-No","Vivid","Yellow","Absent",2.0406,0,NA,NA,0.00419479166666667,0.543863593463593,0.430188546988547,0.0259478595478596
"55","CAMMAN","DRY",650,"Gomphia mannii","Shrub","Dish","Actinomorphic","Horizontal","Exposed","Weak-No","Drab","Yellow","Present",1.6892,0,NA,NA,0.00535,0.509259259259259,0.453703703703704,0.037037037037037
"56","CHALAI","WET",1450,"Chassalia laikomensis","Shrub","Bell","Actinomorphic","All","Exposed","Strong ","Vivid","White","Absent",0.832285714285714,0.743142857142857,1.25796261487051,9.78333333333333,0.102455888964599,0.329657815538288,0.258794847582347,0.411547336879365
"57","CHALAI","WET",2250,"Chassalia laikomensis","Shrub","Bell","Actinomorphic","All","Exposed","Strong ","Vivid","White","Absent",0.832285714285714,0.743142857142857,1.25796261487051,9.78333333333333,0.102455888964599,0.329657815538288,0.258794847582347,0.411547336879365
"58","CHASCI","DRY",1100,"Chazaliella sciadephora","Shrub","Bell","Actinomorphic","All","Exposed","Weak-No","Drab","White","Absent",0.478714285714286,0.243571428571429,NA,NA,NA,NA,NA,NA
"59","CHASCI","WET",650,"Chazaliella sciadephora","Shrub","Bell","Actinomorphic","All","Exposed","Weak-No","Drab","White","Absent",0.478714285714286,0.243571428571429,NA,NA,NA,NA,NA,NA
"60","CHLCOM","DRY",650,"Chlorophytum comosum","Herb","Stellate","Actinomorphic","All","Exposed","Weak-No","Drab","White","Absent",0.6308,0,NA,NA,0.0146571428571429,0.494618040958154,0.503431237106125,0.00195072193572185
"61","CHLCOM","DRY",1100,"Chlorophytum comosum","Herb","Stellate","Actinomorphic","All","Exposed","Weak-No","Drab","White","Absent",0.6308,0,NA,NA,0.0146571428571429,0.494618040958154,0.503431237106125,0.00195072193572185
"62","CHLCOM","DRY",1450,"Chlorophytum comosum","Herb","Stellate","Actinomorphic","All","Exposed","Weak-No","Drab","White","Absent",0.6308,0,NA,NA,0.0146571428571429,0.494618040958154,0.503431237106125,0.00195072193572185
"63","CHLCOM","WET",650,"Chlorophytum comosum","Herb","Stellate","Actinomorphic","All","Exposed","Weak-No","Drab","White","Absent",0.6308,0,NA,NA,0.0146571428571429,0.494618040958154,0.503431237106125,0.00195072193572185
"64","CHLCOM","WET",1450,"Chlorophytum comosum","Herb","Stellate","Actinomorphic","All","Exposed","Weak-No","Drab","White","Absent",0.6308,0,NA,NA,0.0146571428571429,0.494618040958154,0.503431237106125,0.00195072193572185
"65","CHYSP1","DRY",1100,"Chytranthus sp 1","Tree","Urceolate","Actinomorphic","All","Exposed","Weak-No","Drab","White","Absent",0.51,0,NA,NA,NA,NA,NA,NA
"66","CISORE","DRY",1100,"Cissus oreophila","Climber","Dish","Actinomorphic","Upright","Exposed","Strong ","Drab","White","Absent",0.268333333333333,0,NA,NA,0.00865,0.226495726495727,0.243589743589744,0.52991452991453
"67","CLESIL","WET",650,"Clerodendrum silvanum","Climber","Salverform","Actinomorphic","All","Exposed","Strong ","Vivid","White","Absent",1.3895,1.2433,2.42804276315789,10.96,0.226295401234858,0.204357915056633,0.142315574211049,0.653326510732317
"68","CLESIL","WET",1450,"Clerodendrum silvanum","Climber","Salverform","Actinomorphic","All","Exposed","Strong ","Vivid","White","Absent",1.3895,1.2433,2.42804276315789,10.96,0.226295401234858,0.204357915056633,0.142315574211049,0.653326510732317
"69","CLESIM","DRY",1450,"Clematis simensis","Climber","Open","Actinomorphic","All","Exposed","Weak-No","Vivid","White","Absent",2.502,0,NA,NA,0.003915,0.145381858285084,0.0734383895674218,0.781179752147494
"70","CLESPL","DRY",650,"Clerodendrum splendens","Climber","Salverform","Actinomorphic","Upright","Exposed","Weak-No","Vivid","Red","Absent",3.127,2.641,NA,NA,NA,NA,NA,NA
"71","COLCAU","DRY",650,"Cola cauliflora","Shrub","Dish","Actinomorphic","All","Exposed","Weak-No","Drab","Red","Present",1.0018,0,NA,NA,0.0559041666666667,0.205936658382989,0.764599995668591,0.02946334594842
"72","COMCAM","WET",1450,"Commelina cameroonensis","Herb","Open","Zygomorphic","Horizontal","Exposed","Weak-No","Vivid","White","Absent",2.1683,0.4298,NA,NA,NA,NA,NA,NA
"73","COMDIF","WET",1450,"Commelina diffusa","Herb","Open","Zygomorphic","Horizontal","Exposed","Weak-No","Vivid","Blue","Absent",0.9418,0.4256,NA,NA,NA,NA,NA,NA
"74","COMSP1","DRY",650,"Commelinaceae sp 1","Herb","Open","Zygomorphic","Horizontal","Exposed","Weak-No","Drab","White","Absent",0.8326,0,NA,NA,0.0072,NA,NA,NA
"75","COMSP1","DRY",1100,"Commelinaceae sp 1","Herb","Open","Zygomorphic","Horizontal","Exposed","Weak-No","Drab","White","Absent",0.8326,0,NA,NA,0.0072,NA,NA,NA
"76","CORAUR","DRY",1100,"Cordia aurantiaca","Tree","Tube","Actinomorphic","All","Exposed","Strong ","Vivid","Yellow","Absent",2.2,0.9,3.9468,36.75,1.664802224085,0.0946961406580579,0.786970161231488,0.118333698110455
"77","COSDIN","WET",650,"Costus dinklagei","Herb","Tube","Zygomorphic","Horizontal","Hidden","Weak-No","Vivid","Pink","Present",3.769,3.04,NA,NA,NA,NA,NA,NA
"78","COSDUB","DRY",1100,"Costus dubius","Herb","Tube","Zygomorphic","Upright","Hidden","Strong ","Vivid","White","Present",3.1411,3.674,10.8728070175439,14.3166666666667,1.82266177427632,0.0758603325458263,0.152582181471493,0.771557485982681
"79","COSDUB","DRY",1450,"Costus dubius","Herb","Tube","Zygomorphic","Upright","Hidden","Strong ","Vivid","White","Present",3.1411,3.674,10.8728070175439,14.3166666666667,1.82266177427632,0.0758603325458263,0.152582181471493,0.771557485982681
"80","COSDUB","WET",1100,"Costus dubius","Herb","Tube","Zygomorphic","Upright","Hidden","Strong ","Vivid","White","Present",3.1411,3.674,10.8728070175439,14.3166666666667,1.82266177427632,0.0758603325458263,0.152582181471493,0.771557485982681
"81","COSENG","WET",650,"Paracostus englerianus","Herb","Tube","Zygomorphic","Horizontal","Hidden","Weak-No","Vivid","White","Present",2.248,3.99533333333333,4.11184210526316,1.15,0.0519790090460526,NA,NA,NA
"82","CRACRE","WET",1100,"Crassocephalum crepidioides","Herb","Tube","Actinomorphic","Upright","Exposed","Weak-No","Vivid","Pink","Absent",0.142,1.167,NA,NA,NA,NA,NA,NA
"83","CRAMON","DRY",1100,"Crassocephalum montuosum","Herb","Tube","Actinomorphic","All","Exposed","Strong ","Vivid","Orange","Absent",0.6139,0.7089,NA,NA,0.00259007092198582,0.275172073442006,0.360266632222594,0.3645612943354
"84","CRAMON","DRY",1450,"Crassocephalum montuosum","Herb","Tube","Actinomorphic","All","Exposed","Strong ","Vivid","Orange","Absent",0.6139,0.7089,NA,NA,0.00259007092198582,0.275172073442006,0.360266632222594,0.3645612943354
"85","CRAMON","WET",1100,"Crassocephalum montuosum","Herb","Tube","Actinomorphic","All","Exposed","Strong ","Vivid","Orange","Absent",0.6139,0.7089,NA,NA,0.00259007092198582,0.275172073442006,0.360266632222594,0.3645612943354
"86","CRAMON","WET",1450,"Crassocephalum montuosum","Herb","Tube","Actinomorphic","All","Exposed","Strong ","Vivid","Orange","Absent",0.6139,0.7089,NA,NA,0.00259007092198582,0.275172073442006,0.360266632222594,0.3645612943354
"87","CRAVIT","DRY",1450,"Crassocephalum vitellinum","Herb","Tube","Actinomorphic","Upright","Exposed","Weak-No","Vivid","Yellow","Absent",0.1256,1.1074,NA,NA,NA,NA,NA,NA
"88","CRAVIT","DRY",2250,"Crassocephalum vitellinum","Herb","Tube","Actinomorphic","Upright","Exposed","Weak-No","Vivid","Yellow","Absent",0.1256,1.1074,NA,NA,NA,NA,NA,NA
"89","CULMAN","DRY",650,"Culcasia mannii","Herb","Open","Actinomorphic","Horizontal","Exposed","Weak-No","Drab","White","Absent",0.3088,0,NA,NA,0.00629230769230769,0.331911333228278,0.552833494668438,0.115255172103284
"90","CULPAR","WET",650,"Culcasia parviflora","Climber","Open","Actinomorphic","Upright","Exposed","Weak-No","Vivid","White","Absent",1.09,0,NA,NA,NA,NA,NA,NA
"91","CUVLON","DRY",650,"Cuviera longiflora","Tree","Stellate","Actinomorphic","Upright","Exposed","Strong ","Vivid","Green","Present",4.147,0.6646,NA,NA,1.62733333333333,0.195215460582996,0.29435915369932,0.510425385717684
"92","CUVLON","DRY",1100,"Cuviera longiflora","Tree","Stellate","Actinomorphic","Upright","Exposed","Strong ","Vivid","Green","Present",4.147,0.6646,NA,NA,1.62733333333333,0.195215460582996,0.29435915369932,0.510425385717684
"93","CYNSP1","WET",1450,"Cynorkis sp 1","Epiphyte","Bowl","Actinomorphic","Horizontal","Hidden","Weak-No","Drab","White","Absent",0.383333333333333,0,NA,NA,NA,NA,NA,NA
"94","CYPMAN","DRY",1100,"Cyphostemma mannii","Climber","Open","Actinomorphic","Upright","Exposed","Weak-No","Drab","Green","Absent",0.4202,0,NA,NA,0.00237083333333333,0.252777777777778,0.0722222222222222,0.675
"95","CYPMAN","DRY",1450,"Cyphostemma mannii","Climber","Open","Actinomorphic","Upright","Exposed","Weak-No","Drab","Green","Absent",0.4202,0,NA,NA,0.00237083333333333,0.252777777777778,0.0722222222222222,0.675
"96","CYPMAN","WET",2250,"Cyphostemma mannii","Climber","Open","Actinomorphic","Upright","Exposed","Weak-No","Drab","Green","Absent",0.4202,0,NA,NA,0.00237083333333333,0.252777777777778,0.0722222222222222,0.675
"97","DEISP1","DRY",650,"Deinbollia sp 1","Shrub","Urceolate","Actinomorphic","All","Exposed","Weak-No","Drab","Green","Absent",0.2886,0,NA,NA,0.164492888888889,0.163789552795448,0.175461228151133,0.660749219053419
"98","DEISP1","DRY",1100,"Deinbollia sp 1","Shrub","Urceolate","Actinomorphic","All","Exposed","Weak-No","Drab","Green","Absent",0.2886,0,NA,NA,0.164492888888889,0.163789552795448,0.175461228151133,0.660749219053419
"99","DESREP","DRY",1450,"Hylodesmum repandum","Herb","Papilionaceous","Zygomorphic","Horizontal","Hidden","Weak-No","Vivid","Orange","Absent",1.3473,0.7536,NA,NA,0.0020875,NA,NA,NA
"100","DESREP","DRY",2250,"Hylodesmum repandum","Herb","Papilionaceous","Zygomorphic","Horizontal","Hidden","Weak-No","Vivid","Orange","Absent",1.3473,0.7536,NA,NA,0.0020875,NA,NA,NA
"101","DICVES","DRY",1450,"Dicranolepis vestita","Shrub","Salverform","Actinomorphic","Upright","Exposed","Strong ","Vivid","White","Absent",2.26983333333333,1.72983333333333,1.18536472760849,20.4307692307692,0.359766752386977,0.0277803099784249,0.0290034381406864,0.943216251880889
"102","DIOCUM","DRY",650,"Dioscoreophyllum cumminsii","Climber","Open","Actinomorphic","Horizontal","Exposed","Weak-No","Drab","Yellow","Absent",0.3216,0,NA,NA,0.00270700793650794,0.333217773940968,0.650238108411973,0.0165441176470588
"103","DIOCUM","DRY",1100,"Dioscoreophyllum cumminsii","Climber","Open","Actinomorphic","Horizontal","Exposed","Weak-No","Drab","Yellow","Absent",0.3216,0,NA,NA,0.00270700793650794,0.333217773940968,0.650238108411973,0.0165441176470588
"104","DIOCUM","WET",650,"Dioscoreophyllum cumminsii","Climber","Open","Actinomorphic","Horizontal","Exposed","Weak-No","Drab","Yellow","Absent",0.3216,0,NA,NA,0.00270700793650794,0.333217773940968,0.650238108411973,0.0165441176470588
"105","DIOSP1","DRY",650,"Diospyros preussii","Tree","Open","Actinomorphic","All","Exposed","Weak-No","Vivid","White","Absent",1.6096,0.28,18,20.5,0.272492216666667,0.467987045917738,0.434064109374174,0.0979488447080873
"106","DIOZEN","DRY",650,"Diogoa zenkeri","Tree","Open","Actinomorphic","All","Exposed","Weak-No","Drab","Yellow","Absent",0.683,0,NA,NA,NA,NA,NA,NA
"107","DISHEX","DRY",1100,"Discocloaxylon hexandrum","Tree","Open","Actinomorphic","Pendant","Exposed","Weak-No","Drab","Green","Absent",0.492,0,NA,NA,0.00448964285714286,0.0645566001772457,0.0535255686583649,0.881917831164389
"108","DISKAP","WET",2250,"Disperis kamerunensis purple","Herb","Gullet","Zygomorphic","Pendant","Exposed","Weak-No","Vivid","Purple","Present",1.1011,0.6766,1.31578947368421,NA,0.0117,0.312169312169312,0.186507936507937,0.501322751322751
"109","DISKAW","WET",1450,"Disperis kamerunensis white","Herb","Gullet","Zygomorphic","Pendant","Exposed","Weak-No","Vivid","White","Present",1.11583333333333,0.566,0.921052631578947,NA,0.00278181818181818,0.277274425555763,0.476228283205679,0.246497291238558
"110","DISKAW","WET",2250,"Disperis kamerunensis white","Herb","Gullet","Zygomorphic","Pendant","Exposed","Weak-No","Vivid","White","Present",1.11583333333333,0.566,0.921052631578947,NA,0.00278181818181818,0.277274425555763,0.476228283205679,0.246497291238558
"111","DISNIT","WET",2250,"Disperis nitida","Herb","Gullet","Zygomorphic","Upright","Exposed","Weak-No","Vivid","White","Present",1.4321,0,NA,NA,0.000133333333333333,NA,NA,NA
"112","DISPEN","DRY",2250,"Discopodium penninervium","Shrub","Bell","Actinomorphic","Horizontal","Partially exposed","Weak-No","Drab","Green","Absent",0.7508,0.3596,NA,NA,0.23872,0.372541693632118,0.392691922520945,0.234766383846937
"113","DISSP1","DRY",650,"Dischistocalyx sp 1","Herb","Tube","Actinomorphic","Upright","Hidden","Weak-No","Vivid","Purple","Present",1.9894,2.4218,4.77974828375286,15.2434782608696,0.655031683312247,0.305426788066689,0.180396514683555,0.514176697249756
"114","DISSP1","DRY",1100,"Dischistocalyx sp 1","Herb","Tube","Actinomorphic","Upright","Hidden","Weak-No","Vivid","Purple","Present",1.9894,2.4218,4.77974828375286,15.2434782608696,0.655031683312247,0.305426788066689,0.180396514683555,0.514176697249756
"115","DISSP1","WET",650,"Dischistocalyx sp 1","Herb","Tube","Actinomorphic","Upright","Hidden","Weak-No","Vivid","Purple","Present",1.9894,2.4218,4.77974828375286,15.2434782608696,0.655031683312247,0.305426788066689,0.180396514683555,0.514176697249756
"116","DISSP2","DRY",1100,"Dischistocalyx sp 2","Herb","Tube","Zygomorphic","Upright","Hidden","Weak-No","Vivid","Purple","Present",2.80066666666667,3.52466666666667,NA,NA,NA,NA,NA,NA
"117","DORMAN","DRY",650,"Dorstenia mannii","Herb","Open","Actinomorphic","Horizontal","Exposed","Weak-No","Drab","Green","Absent",5.5531,0,NA,NA,0.000325624432822842,0.507952419139268,0.472667735899492,0.0193798449612403
"118","DORMAN","WET",650,"Dorstenia mannii","Herb","Open","Actinomorphic","Horizontal","Exposed","Weak-No","Drab","Green","Absent",5.5531,0,NA,NA,0.000325624432822842,0.507952419139268,0.472667735899492,0.0193798449612403
"119","ECPGIG","DRY",1100,"Sabicea gigantostipula","Shrub","Tube","Actinomorphic","Upright","Hidden","Weak-No","Drab","White","Absent",0.504,2.59366666666667,NA,NA,NA,NA,NA,NA
