"","sp_code","elevation","season","plant_group","species","shape_upd","symmetry","flower_pos","anther_pos","odour","brightness","colour","nectar_guides","size","tube_length","volume","concentration","sugar_amount","glucose","fructose","saccharose","d","shape_upd_num","symmetry_num","flower_pos_num","anther_pos_num","odour_num","brightness_num","nectar_guides_num","R","G","B","brown","green","orange","pink","purple","red","white","yellow"
"DISSP1_650_DRY","DISSP1",650,"DRY","Herb","Dischistocalyx sp 1","Tube","Actinomorphic","Upright","Hidden","Weak-No","Vivid","Purple","Present",1.9894,2.4218,4.77974828375286,15.2434782608696,0.655031683312247,0.305426788066689,0.180396514683555,0.514176697249756,0.0552224493669481,0,0,0.5,0,0,1,1,160,32,240,0,0,0,0,1,0,0,0
"DORMAN_650_DRY","DORMAN",650,"DRY","Herb","Dorstenia mannii","Open","Actinomorphic","Horizontal","Exposed","Weak-No","Drab","Green","Absent",5.5531,0,NA,NA,0.000325624432822842,0.507952419139268,0.472667735899492,0.0193798449612403,0.266359670196261,1,0,1,1,0,0,0,0,255,0,0,1,0,0,0,0,0,0
"GLOLON_650_DRY","GLOLON",650,"DRY","Tree","Glossocalyx longicuspis","Open","Zygomorphic","Pendant","Hidden","Strong ","Drab","White","Absent",2.2665,0.5325,NA,NA,NA,NA,NA,NA,0.266359670196261,1,1,0,0,0,0,0,255,255,255,0,0,0,0,0,0,1,0
"HECSTA_650_DRY","HECSTA",650,"DRY","Shrub","Heckeldora staudtii","Dish","Actinomorphic","Upright","Exposed","Weak-No","Vivid","Pink","Absent",0.8628,0.5196,NA,NA,0.04775625,0.119288470604403,0.209567622511747,0.671143906883851,0.727030288923264,1,0,0.5,1,0,1,0,255,192,203,0,0,0,1,0,0,0,0
"HEICRI_650_DRY","HEICRI",650,"DRY","Tree","Heinsia crinita","Salverform","Actinomorphic","All","Exposed","Strong ","Vivid","White","Present",6.01328571428571,2.52442857142857,1.85507557894737,21.3,0.18122864160265,0.17291402658126,0.358954602040469,0.468131371378271,0.279430663301034,0,0,0,1,0,1,1,255,255,255,0,0,0,0,0,0,1,0
"IMPMAC_650_DRY","IMPMAC",650,"DRY","Herb","Impatiens macroptera","Gullet","Zygomorphic","Horizontal","Exposed","Weak-No","Vivid","Pink","Absent",2.6141,1.4807,3.09817077415762,22.8096153846154,0.754631156051416,0.0689023769761184,0.0490237665870517,0.88207385643683,0.101949042784418,0,1,1,1,0,1,0,255,192,203,0,0,0,1,0,0,0,0
"IMPNIA_650_DRY","IMPNIA",650,"DRY","Epiphyte","Impatiens niamniamensis","Gullet","Zygomorphic","Horizontal","Exposed","Weak-No","Vivid","Red","Absent",2.0146,2.1059,9.75907029478458,15.9861111111111,1.74866011202379,0.0879124630119193,0.0916280907336737,0.820459446254407,0.433911574611866,0,1,1,1,0,1,0,255,0,0,0,0,0,0,0,1,0,0
"IXOGUI_650_DRY","IXOGUI",650,"DRY","Shrub","Ixora guineensis","Salverform","Actinomorphic","All","Exposed","Strong ","Vivid","White","Absent",1.4318,1.3668,0.556555863342567,10.0375,0.0478230425801809,0.0969296585719886,0.134781489525975,0.768288851902036,0.156203867484159,0,0,0,1,0,1,0,255,255,255,0,0,0,0,0,0,1,0
"LACFER_650_DRY","LACFER",650,"DRY","Shrub","Laccodiscus ferrugineus","Urceolate","Actinomorphic","All","Exposed","Weak-No","Drab","White","Absent",0.4436,0,NA,NA,0.123381578947368,0.235102344100022,0.297096316812559,0.46780133908742,0.158820889600094,0,0,0,1,0,0,0,255,255,255,0,0,0,0,0,0,1,0
"MARINS_650_DRY","MARINS",650,"DRY","Shrub","Chazaliella insidens ","Salverform","Actinomorphic","Upright","Hidden","Weak-No","Vivid","Yellow","Absent",0.485,0.5225,NA,NA,NA,NA,NA,NA,0.143813791894237,0,0,0.5,0,0,1,0,255,255,0,0,0,0,0,0,0,0,1
"MASACU_650_DRY","MASACU",650,"DRY","Tree","Massularia acuminata","Trumpet","Actinomorphic","Pendant","Exposed","Weak-No","Vivid","Red","Present",2.104,0.859,3.7280701754386,13.4,0.322697180263158,0.222414978194725,0.0158595547923514,0.761725467012924,0.0703036210981299,0,0,0,1,0,1,1,255,0,0,0,0,0,0,0,1,0,0
"MELSCA_650_DRY","MELSCA",650,"DRY","Climber","Melanthera scandens","Tube","Actinomorphic","Upright","Exposed","Weak-No","Vivid","Orange","Absent",0.168,0.2417,NA,NA,0.00290481720525581,0.307619246814574,0.252389304213561,0.439991448971866,0.157396707684813,0,0,0.5,1,0,1,0,255,165,0,0,0,1,0,0,0,0,0
